league | aatrox | noun | 아트록스 | aatrox is a strong blind pick | 아트록스는 무난한 선픽이야
league | anivia | noun | 빙닭 | pushing into an anivia wall is impossible | 빙닭 벽 세워놓은 거 뚫으면서 푸쉬하는 건 불가능이야
league | annie | noun | 애니 | annie flash stunned the enemy adc | 애니가 플래시 스턴을 상대 원딜한테 꽂았어
league | annie | noun | 곰인형 싸개 | annie just drops tibbers and runs away | 저 곰인형 싸개 티버만 던져놓고 빤스런 하네
league | anti-heal | noun | 치감 | buy anti-heal for aatrox guys | 애들아 아트록스 잡게 치감 사
league | anti-heal | noun | 치유 감소 | skipping anti-heal against soraka is inting | 소라카 상대로 치유 감소 안 가는 건 던지는 거임
league | ap | noun | 주문력 | we need some ap damage | 우리 주문력 딜 좀 필요해
league | ap | noun | 마뎀 | locking in full ap is asking to lose | 올 마뎀 박는 건 지겠다고 비는 거지
league | ap | noun | AP | full ap malphite hiding in the bush | 올 AP 말파이트가 부쉬에 숨어있어
league | ap scaling | noun | AP 계수 | Veigar has infinite AP scaling. | 베이가는 무한 AP 계수 가지고 있어.
league | ap scaling | noun | 주문력 계수 | Katarina AP scaling makes zero sense. | 카타 주문력 계수는 말이 안 돼.
league | ap scaling | noun | AP 계수 | That AP scaling is broken. | 저 AP 계수 개사기네.
league | ap scaling | noun | 주문력 계수 | The buff doubled his AP scaling. | 버프 받고 주문력 계수 엄청 올랐네.
league | aphelios | noun | 아펠리오스 | aphelios has too many weapon combinations | 아펠리오스 무기 조합 너무 많아
league | aphelios | noun | 아펠 | 200 years of aphelios design right there | 200년 짬바 아펠 디자인 수준 꼬라지 봐라
league | approach velocity | noun | 쾌속 접근 | approach velocity helps you chase down slowed enemies | 쾌속 접근은 느려진 적들을 추격할 때 도와줘
league | approach velocity | noun | 쾌접 | ashe with approach velocity is impossible to run away from | 쾌접 든 애쉬한테서 도망치는 건 불가능이야
league | approach velocity | noun | 쾌속 접근 | ashe with approach velocity is inescapable | 쾌속 접근 든 애쉬한테선 도망치는 게 불가능해
league | approach velocity | noun | 쾌접 | olaf running you down with approach velocity | 쾌접 든 올라프가 머리 깨러 달려오네
league | aram | verb | 대치하다 | both teams are just araming mid waiting for nothing | 양 팀 다 의미 없이 미드에서 대치하네
league | aram | verb | 미드교전하다 | araming mid for twenty minutes | 이십 분 내내 미드교전만 하네
league | aram | verb | 미드대치하다 | why is everyone araming mid instead of collecting the side waves | 사이드 웨이브 파밍 안 하고 다들 미드대치하는 이유가 뭐야
league | arcane comet | noun | 신비로운 유성 | poke mages rely on arcane comet for harass | 포킹 메이지들은 견제하려고 신비로운 유성을 들어
league | arcane comet | noun | 신비로운 유성 | comet poke from off screen is pure cancer | 화면 밖에서 날아오는 유성 포킹 진짜 암걸림
league | ardent censer | noun | 불타는 향로 | ardent censer buffs the attack speed of your carry | 불타는 향로는 캐리의 공격 속도를 버프해줘
league | armor | noun | 방어력 | stack armor to counter zed | 제드 카운터 치게 방어력 쌓아
league | armor | noun | 방템 | skipping armor against full ad is straight trolling | 올AD 상대로 방템 안 가는 건 대놓고 트롤이지
league | armor | noun | 방어력 | tanks stack armor to survive physical damage | 탱커들은 물리 피해 버티려고 방어력을 쌓아
league | armor | noun | 방템 | building zero armor against full ad | 올 물뎀 상대로 방템을 하나도 안 가네
league | armor pen | noun | 방관 | Dominik's gives crazy armor pen. | 도미닉 방관 수치 미쳤지.
league | armor pen | noun | 방어구 관통력 | You need armor pen for that Malphite. | 저 말파 잡으려면 방어구 관통력 필요해.
league | armor pen | noun | 방관 | I need more armor pen. | 방관 좀 더 챙겨야겠다.
league | armor pen | noun | 방어구 관통력 | Their tanks force armor pen items. | 쟤네 탱커 때문에 방어구 관통력 필수네.
league | armor penetration | noun | 방관 | We need more armor penetration. | 방관 좀 더 필요해.
league | armor penetration | noun | 방관 | Build armor penetration. | 방관 올려.
league | armor penetration | noun | 방관 | Armor penetration is worth it. | 이번엔 방관 효율 좋아.
league | armor penetration | noun | 방관 | He rushed armor penetration. | 쟤 방관부터 올렸네.
league | armor scaling | noun | 방어력 계수 | Rammus damage has armor scaling. | 람머스 딜은 방어력 계수 받아.
league | armor scaling | noun | 방어력 계수 | Armor scaling makes this build work. | 방어력 계수 때문에 이 빌드가 되는 거야.
league | armor scaling | noun | 방어력 계수 | Stack armor for the scaling. | 계수 받게 방어력 올려.
league | armor scaling | noun | 방어력 계수 | The armor scaling is absurd. | 방어력 계수 진짜 말도 안 된다.
league | armor shred | noun | 방깎 | We need some armor shred for their tank. | 쟤네 탱커 잡으려면 방깎 좀 필요해.
league | armor shred | noun | 방깎 | Who has armor shred? | 방깎 있는 사람 누구야?
league | armor shred | noun | 방깎 | Get some armor shred. | 방깎 좀 챙겨.
league | armor shred | noun | 방깎 | Armor shred is huge here. | 이번 판 방깎 중요하다.
league | as | noun | 공속 | getting attack speed slowed by nasus | 나서스한테 공속 저하 당하는 중
league | ashe | noun | 애쉬 | ashe hit a cross-map arrow | 애쉬가 반대편에서 날린 궁 맞췄어
league | ashe | noun | 둔화싸개 애쉬 | support ashe just spamming w from a mile away | 서폿 둔화싸개 애쉬 저 멀리서 W만 딸깍거리네
league | assassin | noun | 암살자 | we don't need another assassin | 우리 암살자 더 필요 없어
league | assassin | noun | 암살 챔프 | that fed assassin just deleted our carry | 저 잘 큰 암살 챔프가 우리 원딜 걍 지워버렸어
league | assassin | noun | 암살자 | protect me from the assassin | 저 암살자한테서 나 좀 지켜줘
league | assassin | noun | 암살자 | fed assassin diving the tier 3 just to kill me | 잘 큰 암살자가 나 하나 죽이겠다고 억제기 타워까지 다이브 치네
league | assassin build | noun | 극딜 템트리 | I'm trying the new assassin build. | 나 새로운 극딜 템트리 해본다.
league | assassin build | noun | 극딜 템트리 | Go assassin build and one-shot them. | 극딜 가서 삭제해.
league | assassin build | noun | 극딜 템트리 | Assassin build spikes hard. | 극딜 템트리 파워가 세네.
league | assassin build | noun | 극딜 템트리 | I like this assassin build. | 이 극딜 템트리 괜찮네.
league | assist ping | noun | 지원 핑 | Stop spamming assist pings at me. | 나한테 지원 핑 좀 그만 찍어.
league | assist ping | noun | 도와달라 핑 | He died while hitting the assist ping. | 쟤 도와달라 핑 찍다가 죽었어.
league | assist ping | noun | 지원 핑 | Follow the assist ping. | 지원 핑 따라와.
league | assist ping | noun | 도와달라 핑 | I threw an assist ping. | 도와달라 핑 찍었어.
league | assist ping | verb | 지원핑하다 | assist ping the river | 강가에 지원핑해
league | assist ping | verb | 도움핑하다 | assist pinging for dragon setup | 용 한타 준비하려고 도움핑하네
league | attack damage | noun | 공격력 | assassins build full attack damage | 암살자들은 올 공격력 템트리를 타
league | attack move | noun | 어택땅 | you need to practice attack move so you don't accidentally walk into them | 너 실수로 적한테 진입방지하려면 어택땅 연습해야 돼
league | attack range | noun | 사거리 | Caitlyn has the highest attack range. | 케이틀린 사거리 제일 길어.
league | attack range | noun | 사거리 | Abuse your attack range in lane. | 라인전에서 사거리 활용해.
league | attack range | noun | 사거리 | His attack range is unfair. | 쟤 사거리 너무 사기야.
league | attack range | noun | 사거리 | I can't trade into that attack range. | 저 사거리 상대로 딜교 못 해.
league | attack speed | noun | 공격 속도 | ad carries need attack speed to deal consistent damage | 원딜은 지속 딜 넣으려면 공격 속도가 필요해
league | attack speed scaling | noun | 공속 계수 | Jinx has huge attack speed scaling. | 징크스 공속 계수 엄청 높아.
league | attack speed scaling | noun | 공속 계수 | Her attack speed scaling is insane. | 쟤 공속 계수 진짜 미쳤네.
league | attack speed scaling | noun | 공속 계수 | This champ abuses attack speed scaling. | 이 챔프 공속 계수 잘 받네.
league | attack speed scaling | noun | 공속 계수 | Riot nerfed the attack speed scaling. | 라이엇이 공속 계수 너프했어.
league | aurelion sol | noun | 아우렐리온 솔 | aurelion sol scales infinitely into the late game | 아우렐리온 솔 후반 가면 스케일링 무한이야
league | aurelion sol | noun | 아솔 | they can't end through asol's black hole | 아솔 블랙홀 깔려서 쟤네 겜 못 끝냄
league | autofilled | modifier | 포지션꼬인 | we have three autofilled players in one lobby | 우리 한 로비에 포지션꼬인 유저가 세 명이나 있네
league | azir | noun | 아지르 | azir pulled off a perfect shurima shuffle | 아지르가 슈리마 셔플 완벽하게 꽂았어
league | azir | noun | 비둘기 | seeing a good azir in low elo is terrifying | 심해 구간에서 잘하는 비둘기 만나면 존나 무서움
league | b.f. sword | noun | b.f. 대검 | backing with enough gold for a b.f. sword is a huge advantage | 집 가서 b.f. 대검 살 돈 모아오는 건 엄청난 이득이야
league | b.f. sword | noun | 비에프 | i'm short for b.f. sword | 나 비에프 살 돈 모자람
league | back off | verb | 후퇴하다 | back off right now their carry is respawning | 쟤네 캐리 부활하니까 지금 당장 후퇴해
league | back teleport | noun | 뒷텔 | Ward that bush for a back teleport. | 뒷텔 타게 저 부쉬에 와드 좀 해.
league | back teleport | noun | 뒷텔 | Watch out, he might use a back teleport. | 조심해, 쟤 뒷텔 탈 수도 있어.
league | back teleport | noun | 뒷텔 | Their top has a back teleport angle, fall back. | 상대 탑 뒷텔 각이니까 뒤로 빼.
league | back teleport | noun | 뒷텔 | Give me a ward for a back teleport angle. | 뒷텔 타게 와드 하나만 박아줘.
league | backdoor | verb | 백도어하다 | tf is trying to backdoor our nexus hide your teleports | 트페가 우리 넥서스 백도어하려고 시도하니까 텔레포트 은폐해
league | backdoor | verb | 빈집털이하다 | backdooring the base while they do baron | 쟤네 바론할 때 본진 빈집털이하네
league | backdoor | verb | 백도어하다 | watch the tf backdoor | 트페 백도어하는 거 주시해
league | backline | noun | 뒷라인 | assassins will dive our backline | 암살자들이 우리 뒷라인 다이브 칠 거야
league | backline | noun | 딜러진 | flanking to blow up their squishy backline | 상대 물몸 딜러진 터뜨리려고 뒤도는 중
league | backline | noun | 뒷라인 | the assassin dove our backline | 암살자가 우리 뒷라인으로 다이브 쳤어
league | backline | noun | 딜러진 | flank them and explode the backline | 뒤잡아서 쟤네 딜러진 터뜨려버려
league | bait | verb | 낚시하다 | bait them at baron | 바론에서 쟤네 낚시해
league | bait out | verb | 스킬낭비유도하다 | try to bait out the fiora parry before you use your crowd control | 씨씨기 사용하기 전에 피오라 응수 스킬낭비유도해
league | bait out | verb | 플래시유도하다 | nice job baiting out his flash now he is a free kill for the next 5 minutes | 쟤 플래시유도한 거 나이스 이제 5분 동안 쟤 공짜 킬이야
league | bait ping | noun | 갈고리 핑 | Using bait ping on his int is funny. | 쟤 뇌절하는 거에 갈고리 핑 찍는 거 웃기네.
league | bait ping | noun | 미끼 핑 | He thinks it's a bait ping. | 쟤 저거 미끼 핑인 줄 아나 봐.
league | bait ping | noun | 갈고리 핑 | Spam a bait ping and watch him go in. | 갈고리 핑 찍으면 쟤 바로 들어간다.
league | bait ping | noun | 미끼 핑 | That bait ping got our team killed. | 그 미끼 핑 때문에 팀 다 터졌네.
league | bait ping | verb | 미끼핑하다 | bait ping the bush | 부쉬에 미끼핑해
league | bait ping | verb | 갈고리핑하다 | bait pinging the troll | 트롤하는 애한테 갈고리핑하네
league | baited | predicate | 낚시당하다 | we got baited into a terrible teamfight | 우리 최악의 한타로 낚시당했어
league | baited baron | noun | 바론 낚시 | don't finish it, make it a baited baron | 치지 마, 바론 낚시해
league | baited baron | noun | 바론 낚시 | Don't finish it, make it a baited baron. | 치지 마, 바론 낚시해.
league | baited baron | noun | 바론 낚시 | It was a perfectly baited baron. | 완벽한 바론 낚시였어.
league | baited baron | noun | 바론 낚시 | They fell for the baited baron. | 쟤네 바론 낚시에 당했네.
league | baited baron | noun | 바론 낚시 | Use the baited baron to trap them. | 바론 낚시로 쟤네 가둬.
league | baiting | modifier | 낚시하는 | don't follow the baiting support | 낚시하는 서폿 따라가지 마
league | baiting | predicate | 낚시하다 | they are baiting baron right now | 쟤네 지금 바론 낚시해
league | ban | verb | 밴하다 | ban out blitzcrank because our support does not know how to sidestep hooks | 우리 서폿 그랩 무빙회피하는 거 모르니까 블리츠 밴해
league | ban hammer | noun | 정지 철퇴 | Riot hit him with the ban hammer. | 라이엇이 쟤한테 정지 철퇴 내렸어.
league | ban hammer | noun | 영구 정지 | Waiting for the ban hammer on this scripter. | 이 헬퍼충 영구 정지 당하기만 기다리는 중.
league | ban hammer | noun | 정지 철퇴 | He finally got hit by the ban hammer. | 드디어 정지 철퇴 맞았네.
league | ban hammer | noun | 영구 정지 | That account is getting the ban hammer soon. | 저 계정 곧 영구 정지 먹겠다.
league | ban out | verb | 챔프폭방해하다 | they banned three mid laners to ban me out | 나 챔프폭방해하려고 미드만 세 개 밴했어
league | bard | noun | 바드 | bard went on a magical journey to collect chimes | 바드가 종 주우러 신비한 차원문 탔어
league | bard | noun | 로밍충 바드 | my bard ulted our own team and lost the fight | 우리 로밍충 바드가 우리 팀한테 궁 써서 한타 졌네
league | baron | noun | 바론 | secure baron and end the game | 바론 먹고 겜 끝내자
league | baron | noun | 남작 | rushing baron on spawn is greedy | 젠 되자마자 남작 치는 건 욕심이지
league | baron | noun | 바론 | fifty fifty baron flip just lost us the game | 반반 바론 도박하다가 방금 겜 졌어
league | baron buff | noun | 바론 버프 | Use baron buff to push mid. | 바론 버프로 미드 밀자.
league | baron buff | noun | 바론 버프 | We wasted baron buff. | 바론 버프 날렸네.
league | baron buff | noun | 바론 버프 | Baron buff is running out. | 바론 버프 곧 끝나.
league | baron buff | noun | 바론 버프 | They have baron buff. | 쟤네 바론 버프야.
league | baron nashor | noun | 내셔 남작 | securing baron nashor gives a massive siege buff | 내셔 남작 먹으면 엄청난 공성 버프를 받아
league | baron throw | noun | 바론 뇌절 | Stop forcing, it's a classic baron throw. | 억지 좀 부리지 마, 이거 전형적인 바론 뇌절이야.
league | baron throw | noun | 바론 뇌절 | No more baron throw, please. | 제발 바론 뇌절 좀 그만해.
league | baron throw | noun | 바론 뇌절 | That was a textbook baron throw. | 교과서적인 바론 뇌절이었어.
league | baron throw | noun | 바론 뇌절 | We can't afford a baron throw. | 바론 뇌절 할 여유가 없어.
league | barrier | noun | 방어막 | barrier blocked the lethal damage from the ignite | 방어막이 점화 치명타 딜 막아줬어
league | barrier | noun | 배리어 | popping barrier to survive the tower shot | 타워 딜 버티려고 배리어 켰어
league | base | noun | 본진 | defend the base | 본진 막아
league | base | noun | 집 | recalling back to base to defend | 수성하려고 집 가는 중
league | base | noun | 본진 | we must retreat and defend our base | 우리 후퇴해서 본진 막아야 돼
league | base | noun | 집 | resetting in base after the ace | 에이스 띄우고 집에서 정비하는 중
league | base | verb | 귀환하다 | i need to b right now | 나 지금 당장 귀환해야 돼
league | base | verb | 상점복귀하다 | basing for my item | 아이템 사려고 상점복귀해
league | base | verb | 상점복귀하다 | i need to base for my item spike | 나 아이템 전성기 위해 상점복귀해야 돼
league | base damage | noun | 스킬 깡딜 | How is his base damage so high? | 쟨 스킬 깡딜이 어떻게 저렇게 높냐?
league | base damage | noun | 스킬 깡딜 | His base damage is insane. | 스킬 깡딜 미쳤네.
league | base damage | noun | 스킬 깡딜 | That's all base damage. | 저거 거의 스킬 깡딜이야.
league | base damage | noun | 스킬 깡딜 | Base damage carries early. | 초반엔 스킬 깡딜이 세지.
