basketball | 3-and-D | noun | 3앤D | Thompson is the ultimate 3-and-D. | 탐슨은 최고의 3앤D야.
basketball | Alonzo Mourning | noun | 알론조 모닝 | Alonzo Mourning finished inside. | 알론조 모닝이 골밑에서 마무리했어.
basketball | Alperen Sengun | noun | 알페렌 셍귄 | Alperen Sengun worked from the post. | 알페렌 셍귄이 포스트에서 플레이했어.
basketball | Alperen Sengun | noun | 알페렌 셍귄 | Alperen Sengun found the cutter. | 알페렌 셍귄이 컷인 선수를 찾았어.
basketball | Alperen Sengun | noun | 알페렌 셍귄 | Alperen Sengun controlled the offense. | 알페렌 셍귄이 공격을 조율했어.
basketball | Alperen Sengun | noun | 알페렌 셍귄 | Alperen Sengun scored over his shoulder. | 알페렌 셍귄이 턴슛을 넣었어.
basketball | Amar'e Stoudemire | noun | 아마레 스타더마이어 | Amar'e Stoudemire rolled hard to the rim. | 아마레 스타더마이어가 강하게 림으로 들어갔어.
basketball | Amar'e Stoudemire | noun | 아마레 스타더마이어 | Amar'e Stoudemire finished the lob. | 아마레 스타더마이어가 앨리웁을 마무리했어.
basketball | Amar'e Stoudemire | noun | 아마레 스타더마이어 | Amar'e Stoudemire threw down the dunk. | 아마레 스타더마이어가 덩크를 꽂았어.
basketball | Amar'e Stoudemire | noun | 아마레 스타더마이어 | Amar'e Stoudemire lived above the rim. | 아마레 스타더마이어는 림 위에서 놀았어.
basketball | Amen Thompson | noun | 아멘 탐슨 | Amen Thompson pushed the break. | 아멘 탐슨이 속공을 전개했어.
basketball | Amen Thompson | noun | 아멘 탐슨 | Amen Thompson attacked the basket. | 아멘 탐슨이 골밑을 공략했어.
basketball | Amen Thompson | noun | 아멘 탐슨 | Amen Thompson made a hustle play. | 아멘 탐슨이 허슬 플레이를 했어.
basketball | Amen Thompson | noun | 아멘 탐슨 | Amen Thompson locked up his matchup. | 아멘 탐슨이 상대를 꽁꽁 묶었어.
basketball | and-one | noun | 앤드원 | LeBron flexes after the and-one. | 르브론 앤드원 후 세리머니한다.
basketball | and-one | noun | 앤드원 | Count it and-one. | 앤드원이다.
basketball | and-one | noun | 앤드원 | Tough and-one finish. | 앤드원 마무리 좋았다.
basketball | and-one | noun | 앤드원 | He wanted the and-one. | 앤드원 노렸네.
basketball | ankle breaker | noun | 앵클 브레이커 | Curry with the ankle breaker. | 커리의 앵클 브레이커.
basketball | ankle breaker | noun | 앵클 브레이커 | That was a nasty ankle breaker. | 엄청난 앵클 브레이커였어.
basketball | ankle breaker | noun | 앵클 브레이커 | He dropped him with an ankle breaker. | 앵클 브레이커로 넘어뜨렸어.
basketball | ankle breaker | noun | 앵클 브레이커 | The ankle breaker went viral. | 그 앵클 브레이커가 화제였어.
basketball | Anthony Davis | noun | 앤서니 데이비스 | Anthony Davis protected the rim. | 앤서니 데이비스가 림을 지켰어.
basketball | Anthony Davis | noun | 앤서니 데이비스 | Anthony Davis cleaned up the glass. | 앤서니 데이비스가 리바운드를 정리했어.
basketball | Anthony Davis | noun | 앤서니 데이비스 | Anthony Davis finished the lob. | 앤서니 데이비스가 앨리웁을 마무리했어.
basketball | Anthony Davis | noun | 앤서니 데이비스 | Anthony Davis controlled both ends. | 앤서니 데이비스가 공수를 지배했어.
basketball | Anthony Edwards | noun | 앤서니 에드워즈 | Anthony Edwards exploded to the rim. | 앤서니 에드워즈가 림까지 폭발적으로 들어갔어.
basketball | Anthony Edwards | noun | 앤서니 에드워즈 | Anthony Edwards rose for the dunk. | 앤서니 에드워즈가 덩크를 꽂았어.
basketball | Anthony Edwards | noun | 앤서니 에드워즈 | Anthony Edwards took over the quarter. | 앤서니 에드워즈가 쿼터를 지배했어.
basketball | Anthony Edwards | noun | 앤서니 에드워즈 | Anthony Edwards got the crowd going. | 앤서니 에드워즈가 분위기를 끌어올렸어.
basketball | assist | noun | 어시스트 | Magic with another assist. | 매직 또 어시스트 적립.
basketball | assist | noun | 어시스트 | Great assist. | 어시스트 좋았다.
basketball | assist | noun | 어시스트 | He finished with 12 assists. | 어시스트 12개 찍었네.
basketball | assist | noun | 어시스트 | That's an easy assist. | 어시스트 하나 추가네.
basketball | attack | verb | 공격하다 | He attacked the rim. | 림을 공격했어.
basketball | attack | verb | 공격하다 | Brunson attacked all game. | 브런슨이 경기 내내 공격했어.
basketball | attack | verb | 공격하다 | He attacked the closeout. | 클로즈아웃을 공격했어.
basketball | attack | verb | 공격하다 | Keep attacking the paint. | 계속 페인트존을 공격해.
basketball | back down | verb | 백다운하다 | He backed down the defender. | 수비수 상대로 백다운했어.
basketball | back down | verb | 백다운하다 | Jokic backed him down. | 요키치가 백다운했어.
basketball | back down | verb | 백다운하다 | He backed down into the paint. | 페인트존까지 백다운했어.
basketball | back down | verb | 백다운하다 | Keep backing him down. | 계속 백다운해.
basketball | back down | verb | 밀고들어가다 | He backed down his defender near the block. | 블록 근처에서 수비수를 밀고들어갔어.
basketball | back down | verb | 밀고들어가다 | Jokic backed him down into the paint. | 요키치가 페인트존까지 밀고들어갔어.
basketball | back down | verb | 밀고들어가다 | He backed down before the turnaround. | 턴어라운드 전에 밀고들어갔어.
basketball | back down | verb | 밀고들어가다 | Back him down toward the middle. | 중앙 쪽으로 밀고들어가.
basketball | backboard | noun | 백보드 | Off the backboard to James. | 백보드를 맞고 제임스에게 갔어.
basketball | backboard | noun | 백보드 | He banked it off the backboard. | 백보드를 맞혀 넣었어.
basketball | backboard | noun | 백보드 | The ball hit the backboard first. | 공이 먼저 백보드를 맞았어.
basketball | backboard | noun | 백보드 | Nice touch off the backboard. | 백보드 활용이 좋았어.
basketball | backcourt | noun | 백코트 | Splash Brothers in the backcourt. | 스플래시 브라더스 백코트 조합.
basketball | backcourt | noun | 백코트 | They have an elite backcourt. | 최고 수준의 백코트야.
basketball | backcourt | noun | 백코트 | The backcourt carried the team. | 백코트가 팀을 이끌었어.
basketball | backcourt | noun | 백코트 | Strong defense from the backcourt. | 백코트 수비가 좋았어.
basketball | backdoor cut | noun | 백도어 컷 | Wade scores off backdoor cut. | 웨이드 백도어 컷 성공.
basketball | backdoor cut | noun | 백도어 컷 | Nice backdoor cut. | 백도어 컷 좋았다.
basketball | backdoor cut | noun | 백도어 컷 | They got burned by a backdoor cut. | 백도어 컷에 당했네.
basketball | backdoor cut | noun | 백도어 컷 | Watch the backdoor cut. | 백도어 컷 조심해.
basketball | backdoor cut | noun | 백도어 컷 | Wade scores on backdoor cut. | 웨이드가 백도어 컷으로 득점했어.
basketball | backdoor cut | noun | 백도어 컷 | Nice backdoor cut there. | 백도어 컷 좋았어.
basketball | backdoor cut | noun | 백도어 컷 | The backdoor cut was wide open. | 백도어 컷이 완전히 열렸어.
basketball | backdoor cut | noun | 백도어 컷 | He slipped in on a backdoor cut. | 백도어 컷으로 들어갔어.
basketball | backdown | noun | 백다운 | Shaq uses a powerful backdown. | 샤크 백다운 들어간다.
basketball | backdown | noun | 백다운 | He won with a backdown. | 백다운으로 밀어버렸네.
basketball | backdown | noun | 백다운 | That's too much backdown pressure. | 백다운 압박이 장난 아니네.
basketball | backdown | noun | 백다운 | Stop that backdown. | 백다운 좀 막아봐.
basketball | bailout pass | noun | 폭탄 패스 | LeBron throws a bailout pass. | 르브론이 폭탄 패스 던졌네.
basketball | bailout pass | noun | 폭탄 패스 | That's a bailout pass. | 폭탄 패스네.
basketball | bailout pass | noun | 폭탄 패스 | He saved the play with a bailout pass. | 폭탄 패스로 살렸네.
basketball | bailout pass | noun | 폭탄 패스 | Tough catch off that bailout pass. | 폭탄 패스 받아내기 힘들었겠다.
basketball | ball hog | noun | 볼호그 | Kobe called a ball hog. | 코비는 볼호그라는 말도 들었어.
basketball | ball hog | noun | 볼호그 | Stop being a ball hog. | 혼자만 하지 마.
basketball | ball hog | noun | 볼호그 | Nobody likes a ball hog. | 볼호그는 환영 못 받아.
basketball | ball hog | noun | 볼호그 | He gets labeled a ball hog. | 볼호그 소리를 듣고 있어.
basketball | Bam Adebayo | noun | 뱀 아데바요 | Bam Adebayo switched onto the guard. | 뱀 아데바요가 가드를 마크했어.
basketball | Bam Adebayo | noun | 뱀 아데바요 | Bam Adebayo ran the handoff. | 뱀 아데바요가 핸드오프를 했어.
basketball | Bam Adebayo | noun | 뱀 아데바요 | Bam Adebayo protected the rim. | 뱀 아데바요가 림을 지켰어.
basketball | Bam Adebayo | noun | 뱀 아데바요 | Bam Adebayo made the extra pass. | 뱀 아데바요가 추가 패스를 했어.
basketball | bank shot | noun | 뱅크샷 | What a bank shot by Tim Duncan. | 팀 던컨 뱅크샷 미쳤네.
basketball | bank shot | noun | 뱅크샷 | That's a classic bank shot. | 전형적인 뱅크샷이네.
basketball | bank shot | noun | 뱅크샷 | He called glass on that bank shot. | 뱅크샷 깔끔하게 넣었네.
basketball | bank shot | noun | 뱅크샷 | Another bank shot from the baseline. | 또 뱅크샷 들어갔네.
basketball | bank shot | noun | 뱅크샷 | Duncan's fundamental bank shot. | 던컨의 기본기 좋은 뱅크샷.
basketball | bank shot | noun | 뱅크샷 | He called bank on that shot. | 뱅크샷으로 넣었어.
basketball | bank shot | noun | 뱅크샷 | Smooth bank shot off the glass. | 깔끔한 뱅크샷이야.
basketball | bank shot | noun | 뱅크샷 | The bank shot still works. | 뱅크샷은 여전히 통하지.
basketball | baseline | noun | 베이스라인 | Curry moves along the baseline. | 커리가 베이스라인을 타고 움직여.
basketball | baseline | noun | 베이스라인 | Nice baseline cut. | 베이스라인 컷 좋았어.
basketball | baseline | noun | 베이스라인 | He drove the baseline. | 베이스라인으로 돌파했어.
basketball | baseline | noun | 베이스라인 | The pass came from the baseline. | 베이스라인에서 패스가 나왔어.
basketball | Ben Wallace | noun | 벤 월리스 | Ben Wallace protected the rim. | 벤 월리스가 림을 지켰어.
basketball | Ben Wallace | noun | 벤 월리스 | Ben Wallace grabbed every rebound. | 벤 월리스가 리바운드를 다 잡았어.
basketball | Ben Wallace | noun | 벤 월리스 | Ben Wallace anchored the defense. | 벤 월리스가 수비를 이끌었어.
basketball | Ben Wallace | noun | 벤 월리스 | Ben Wallace brought the energy. | 벤 월리스가 에너지를 끌어올렸어.
basketball | bench | noun | 벤치 | Lou Williams off the bench. | 루 윌리엄스가 벤치에서 나왔어.
basketball | bench | noun | 벤치 | The bench scored 40 points. | 벤치 득점이 40점이야.
basketball | bench | noun | 벤치 | Their bench made the difference. | 벤치가 차이를 만들었어.
basketball | bench | noun | 벤치 | He came off the bench. | 벤치에서 출전했어.
basketball | big man | noun | 빅맨 | Box out the opposing big man. | 상대 빅맨 박스아웃 해.
basketball | big man | noun | 빅맨 | Their big man is dominating. | 상대 빅맨이 지배하네.
basketball | big man | noun | 빅맨 | Feed the big man inside. | 빅맨한테 넣어줘.
basketball | big man | noun | 빅맨 | We need another big man. | 빅맨 한 명 더 필요해.
basketball | big man | noun | 빅맨 | Jokic is a unique big man.
basketball | Bill Russell | noun | 빌 러셀 | Bill Russell won another title. | 빌 러셀이 또 우승했어.
basketball | Bill Russell | noun | 빌 러셀 | Bill Russell dominated the boards. | 빌 러셀이 리바운드를 지배했어.
basketball | Bill Russell | noun | 빌 러셀 | Every center studied Bill Russell. | 모든 센터가 빌 러셀을 연구했어.
basketball | Bill Russell | noun | 빌 러셀 | Bill Russell anchored the defense. | 빌 러셀이 수비를 이끌었어.
basketball | block | noun | 블록 | LeBron's chase-down block. | 르브론의 체이스다운 블록.
basketball | block | noun | 블록 | What a block by Wembanyama. | 웸반야마의 엄청난 블록이야.
basketball | block | noun | 블록 | He recorded three blocks. | 블록 3개를 기록했어.
basketball | block | noun | 블록 | That block saved the game. | 그 블록이 경기를 살렸어.
basketball | blocking | noun | 블로킹 파울 | Defensive blocking on Tucker. | 터커에게 블로킹 파울이 선언됐어.
basketball | blocking | noun | 블로킹 파울 | That's a clear blocking foul. | 명백한 블로킹 파울이야.
basketball | blocking | noun | 블로킹 파울 | He got caught for blocking. | 블로킹 파울이 불렸어.
basketball | blocking | noun | 블로킹 파울 | Tough blocking call there. | 아쉬운 블로킹 판정이야.
basketball | blowout | noun | 가비지 게임 | Celtics win in a blowout. | 셀틱스가 대승을 거뒀어.
basketball | blowout | noun | 가비지 게임 | This game turned into a blowout. | 가비지 게임이 됐어.
basketball | blowout | noun | 가비지 게임 | It was a complete blowout. | 완전 일방적인 경기였어.
basketball | blowout | noun | 가비지 게임 | The starters sat during the blowout. | 가비지 게임이라 주전이 쉬었어.
basketball | board | noun | 리바운드 | Barkley gets another board. | 바클리가 또 리바운드를 잡았어.
basketball | board | noun | 리바운드 | He's crashing the boards hard. | 리바운드를 엄청 따내고 있어.
basketball | board | noun | 리바운드 | Give me one more board. | 리바운드 하나만 더 잡아.
basketball | board | noun | 리바운드 | He finished with 15 boards. | 리바운드 15개로 마쳤어.
basketball | boards | noun | 리바운드 | Barkley clears the boards. | 바클리 리바운드 쓸어담네.
basketball | boards | noun | 리바운드 | He owns the boards. | 리바운드 지배하네.
basketball | boards | noun | 리바운드 | We need more boards. | 리바운드 더 잡아야 돼.
basketball | boards | noun | 리바운드 | Great work on the boards. | 리바운드 좋았다.
basketball | bounce pass | noun | 바운스 패스 | Nash's perfect bounce pass. | 내쉬의 완벽한 바운스 패스.
basketball | bounce pass | noun | 바운스 패스 | Nice bounce pass. | 바운스 패스 좋았다.
basketball | bounce pass | noun | 바운스 패스 | He threaded the bounce pass. | 바운스 패스 잘 찔렀네.
basketball | bounce pass | noun | 바운스 패스 | Perfect bounce pass in traffic. | 수비 사이로 패스 좋았다.
basketball | box out | noun | 박스아웃 | Fundamental box out by Duncan. | 던컨의 기본기 좋은 박스아웃이야.
basketball | box out | noun | 박스아웃 | Great box out under the rim. | 림 아래서 박스아웃 좋았어.
basketball | box out | noun | 박스아웃 | He missed the box out. | 박스아웃을 놓쳤어.
basketball | box out | noun | 박스아웃 | Box out and secure the rebound. | 박스아웃하고 리바운드 잡아.
basketball | box out | verb | 박스아웃하다 | He boxed out his man under the rim. | 림 아래에서 박스아웃했어.
basketball | box out | verb | 박스아웃하다 | Everybody boxed out on the shot. | 슛 올라가자 전부 박스아웃했어.
basketball | box out | verb | 박스아웃하다 | He boxed out before the rebound. | 리바운드 전에 박스아웃했어.
basketball | box out | verb | 박스아웃하다 | Box out every time a shot goes up. | 슛 올라갈 때마다 박스아웃해.
basketball | box score | noun | 박스스코어 | Check the box score later. | 나중에 박스스코어 확인해.
basketball | box score | noun | 박스스코어 | The box score looks crazy. | 박스스코어가 엄청나네.
basketball | box score | noun | 박스스코어 | Don't judge by the box score. | 박스스코어만 보고 판단하지 마.
basketball | box score | noun | 박스스코어 | His impact won't show in the box score. | 영향력은 박스스코어에 안 보여.
basketball | brick | noun | 벽돌 | Westbrook throws up a brick. | 웨스트브룩 또 벽돌 던졌네.
basketball | brick | noun | 벽돌 | That's a complete brick. | 완전 벽돌이네.
basketball | brick | noun | 벽돌 | He bricked the open three. | 오픈 3점도 벽돌 냈네.
basketball | brick | noun | 벽돌 | Stop forcing bricks. | 벽돌 좀 그만 던져.
basketball | brick | noun | 벽돌(실패한 슛) | Westbrook shoots another brick. | 웨스트브룩 또 벽돌 던졌네.
basketball | brick | noun | 벽돌(실패한 슛) | That's a brick. | 벽돌이네.
basketball | brick | noun | 벽돌(실패한 슛) | He bricked the open shot. | 오픈 찬스도 벽돌 냈네.
basketball | brick | noun | 벽돌(실패한 슛) | Nothing but backboard. | 백보드만 맞췄네.
basketball | brick | verb | 슛을 실패하다 | He bricked both free throws. | 자유투 두 개 다 슛을 실패했어.
basketball | brick | verb | 슛을 실패하다 | Don't brick this one. | 이번 슛은 실패하지 마.
basketball | brick | verb | 슛을 실패하다 | He bricked an open three. | 오픈 3점을 슛 실패했어.
basketball | brick | verb | 슛을 실패하다 | We kept bricking shots. | 계속 슛을 실패했어.
basketball | brick shot | noun | 벽돌 | What a brick shot by Westbrook. | 웨스트브룩 벽돌 제대로 던졌네.
basketball | brick shot | noun | 벽돌 | That was a complete brick shot. | 완전 벽돌이네.
basketball | brick shot | noun | 벽돌 | He keeps throwing brick shots. | 계속 벽돌만 던지네.
basketball | brick shot | noun | 벽돌 | Another brick shot from deep. | 또 장거리 벽돌 나왔다.
basketball | bust | noun | 먹튀 | Bennett is a draft bust. | 베넷은 드래프트 먹튀로 꼽혀.
basketball | bust | noun | 먹튀 | He turned out to be a bust. | 결국 먹튀가 됐어.
basketball | bust | noun | 먹튀 | People called him a bust too early. | 너무 일찍 먹튀라고 했어.
basketball | bust | noun | 먹튀 | That's one of the biggest busts ever. | 역대급 먹튀 중 하나야.
basketball | buyout | noun | 바이아웃 | Griffin agrees to a buyout. | 그리핀이 바이아웃에 합의했어.
basketball | buyout | noun | 바이아웃 | The veteran reached a buyout. | 베테랑이 바이아웃에 합의했어.
basketball | buyout | noun | 바이아웃 | He's expected to seek a buyout. | 바이아웃을 추진할 것 같아.
basketball | buyout | noun | 바이아웃 | The buyout market is active. | 바이아웃 시장이 활발해.
basketball | buzzer beater | noun | 버저비터 | Lillard hits the buzzer beater. | 릴라드 버저비터 성공.
basketball | buzzer beater | noun | 버저비터 | That's a buzzer beater. | 버저비터다.
basketball | buzzer beater | noun | 버저비터 | He called game with a buzzer beater. | 버저비터로 끝냈네.
basketball | buzzer beater | noun | 버저비터 | Unreal buzzer beater. | 말도 안 되는 버저비터다.
basketball | Cade Cunningham | noun | 케이드 커닝햄 | Cade Cunningham controlled the game. | 케이드 커닝햄이 경기를 지배했어.
basketball | Cade Cunningham | noun | 케이드 커닝햄 | Cade Cunningham found the open man. | 케이드 커닝햄이 빈 선수를 찾았어.
basketball | Cade Cunningham | noun | 케이드 커닝햄 | Cade Cunningham got to his spot. | 케이드 커닝햄이 자기 자리로 갔어.
basketball | Cade Cunningham | noun | 케이드 커닝햄 | Cade Cunningham delivered in crunch time. | 케이드 커닝햄이 승부처에 해줬어.
basketball | carry | noun | 캐링 | Morant gets called for a carry. | 모란트에게 캐링이 선언됐어.
basketball | carry | noun | 캐링 | That's a carry every time. | 저건 항상 캐링이야.
basketball | carry | noun | 캐링 | The ref finally called a carry. | 심판이 드디어 캐링을 불었어.
basketball | carry | noun | 캐링 | He was whistled for a carry. | 캐링이 선언됐어.
basketball | catch-and-shoot | noun | 캐치앤슛 | Korver masters the catch-and-shoot. | 코버는 캐치앤슛의 달인이야.
basketball | catch-and-shoot | noun | 캐치앤슛 | That's an easy catch-and-shoot three. | 쉬운 캐치앤슛 3점이야.
basketball | catch-and-shoot | noun | 캐치앤슛 | He thrives in catch-and-shoot situations. | 캐치앤슛에 강해.
basketball | catch-and-shoot | noun | 캐치앤슛 | Create more catch-and-shoot looks. | 캐치앤슛 기회를 더 만들어.
basketball | center | noun | 센터 | Shaq was a dominant center. | 샤크는 지배적인 센터였어.
basketball | center | noun | 센터 | They need a rim-protecting center. | 림 프로텍터 센터가 필요해.
basketball | center | noun | 센터 | The center owned the paint. | 센터가 골밑을 장악했어.
basketball | center | noun | 센터 | He's one of the top centers. | 최고의 센터 중 한 명이야.
basketball | challenge | noun | 챌린지 | Coach uses his coach's challenge. | 감독이 챌린지를 사용했어.
basketball | challenge | noun | 챌린지 | They're out of challenges. | 챌린지를 다 썼어.
basketball | challenge | noun | 챌린지 | The challenge was successful. | 챌린지가 받아들여졌어.
basketball | challenge | noun | 챌린지 | Use the challenge here. | 여기서 챌린지 써.
basketball | charging | noun | 차징 | Lowry takes the charging foul. | 라우리가 차징을 얻어냈어.
basketball | charging | noun | 차징 | Easy charging call there. | 차징이 명확했어.
basketball | charging | noun | 차징 | He was called for charging. | 차징이 선언됐어.
basketball | charging | noun | 차징 | That's a huge charging call. | 엄청 중요한 차징이야.
basketball | Charles Barkley | noun | 찰스 바클리 | Charles Barkley grabbed another board. | 찰스 바클리가 또 리바운드를 잡았어.
basketball | Charles Barkley | noun | 찰스 바클리 | Charles Barkley bullied his matchup. | 찰스 바클리가 상대를 밀어붙였어.
basketball | Charles Barkley | noun | 찰스 바클리 | Charles Barkley pushed the break himself. | 찰스 바클리가 직접 속공을 전개했어.
basketball | Charles Barkley | noun | 찰스 바클리 | Charles Barkley dominated inside. | 찰스 바클리가 골밑을 지배했어.
basketball | chase-down | noun | 체이스다운 블록 | LeBron's famous chase-down block. | 르브론의 유명한 체이스다운 블록.
basketball | chase-down | noun | 체이스다운 블록 | Incredible chase-down by LeBron. | 르브론의 체이스다운이야.
basketball | chase-down | noun | 체이스다운 블록 | He came flying in for the chase-down. | 체이스다운으로 날아왔어.
basketball | chase-down | noun | 체이스다운 블록 | The chase-down saved two points. | 체이스다운이 실점을 막았어.
basketball | Chauncey Billups | noun | 천시 빌럽스 | Chauncey Billups settled the offense. | 천시 빌럽스가 공격을 정리했어.
basketball | Chauncey Billups | noun | 천시 빌럽스 | Chauncey Billups hit the big shot. | 천시 빌럽스가 중요한 슛을 넣었어.
basketball | Chauncey Billups | noun | 천시 빌럽스 | Chauncey Billups controlled the tempo. | 천시 빌럽스가 경기 템포를 조절했어.
basketball | Chauncey Billups | noun | 천시 빌럽스 | Chauncey Billups came through late. | 천시 빌럽스가 막판에 해줬어.
basketball | chest pass | noun | 체스트 패스 | Fundamental chest pass by Stockton. | 스탁턴의 정석 체스트 패스.
basketball | chest pass | noun | 체스트 패스 | Quick chest pass. | 체스트 패스 빠르네.
basketball | chest pass | noun | 체스트 패스 | Keep it simple with a chest pass. | 기본적으로 체스트 패스 가자.
basketball | chest pass | noun | 체스트 패스 | Crisp chest pass. | 패스 깔끔하다.
basketball | Chet Holmgren | noun | 쳇 홈그렌 | Chet Holmgren protected the rim. | 쳇 홈그렌이 림을 지켰어.
basketball | Chet Holmgren | noun | 쳇 홈그렌 | Chet Holmgren stretched the floor. | 쳇 홈그렌이 공간을 넓혔어.
basketball | Chet Holmgren | noun | 쳇 홈그렌 | Chet Holmgren blocked another shot. | 쳇 홈그렌이 또 블록했어.
basketball | Chet Holmgren | noun | 쳇 홈그렌 | Chet Holmgren finished the lob. | 쳇 홈그렌이 앨리웁을 마무리했어.
basketball | Chris Paul | noun | 크리스 폴 | Chris Paul got everyone involved. | 크리스 폴이 팀원들을 살렸어.
basketball | Chris Paul | noun | 크리스 폴 | Chris Paul walked into the jumper. | 크리스 폴이 편하게 점퍼를 쐈어.
basketball | Chris Paul | noun | 크리스 폴 | Chris Paul picked his spot. | 크리스 폴이 좋은 위치를 잡았어.
basketball | Chris Paul | noun | 크리스 폴 | Chris Paul ran the show. | 크리스 폴이 경기를 지휘했어.
basketball | Chris Webber | noun | 크리스 웨버 | Chris Webber found the cutter. | 크리스 웨버가 컷인 선수를 찾았어.
basketball | Chris Webber | noun | 크리스 웨버 | Chris Webber worked from the high post. | 크리스 웨버가 하이포스트에서 플레이했어.
basketball | Chris Webber | noun | 크리스 웨버 | Chris Webber made the extra pass. | 크리스 웨버가 추가 패스를 했어.
basketball | Chris Webber | noun | 크리스 웨버 | Chris Webber controlled the offense. | 크리스 웨버가 공격을 조율했어.
basketball | chuck | noun | 난사 | That's a bad chuck. | 무리한 난사였어.
basketball | chuck | verb | 난사하다 | He started chucking in the fourth. | 4쿼터에 난사하기 시작했어.
basketball | chuck | verb | 난사하다 | Too much chucking tonight. | 오늘 너무 난사하네.
basketball | chuck | verb | 난사하다 | He kept chucking from deep. | 계속 먼 거리에서 난사했어.
basketball | chuck | verb | 난사하다 | Stop chucking and move the ball. | 난사 그만하고 볼 돌려.
basketball | clear path foul | noun | 클리어 패스 파울 | Intentional clear path foul called. | 클리어 패스 파울이 선언됐어.
basketball | clear path foul | noun | 클리어 패스 파울 | That's a clear path foul. | 클리어 패스 파울이야.
basketball | clear path foul | noun | 클리어 패스 파울 | The refs confirmed the clear path foul. | 심판이 클리어 패스 파울을 인정했어.
basketball | clear path foul | noun | 클리어 패스 파울 | Huge clear path foul there. | 중요한 클리어 패스 파울이 나왔어.
basketball | close out | verb | 클로즈아웃하다 | He closed out hard on the shooter. | 슈터에게 강하게 클로즈아웃했어.
basketball | close out | verb | 클로즈아웃하다 | Bridges closed out on every shot. | 브리지스가 모든 슛에 클로즈아웃했어.
basketball | close out | verb | 클로즈아웃하다 | He closed out from the weak side. | 약한 쪽에서 클로즈아웃했어.
basketball | close out | verb | 클로즈아웃하다 | Keep closing out on their shooters. | 상대 슈터들에게 계속 클로즈아웃해.
basketball | closeout | noun | 클로즈아웃 | Green with a hard closeout. | 그린의 강한 클로즈아웃.
basketball | closeout | noun | 클로즈아웃 | Great closeout on the shooter. | 슈터에게 클로즈아웃 좋았어.
basketball | closeout | noun | 클로즈아웃 | He blew the closeout. | 클로즈아웃에 실패했어.
basketball | closeout | noun | 클로즈아웃 | Quick closeout and recover. | 빠르게 클로즈아웃하고 복귀해.
basketball | clutch | noun | 클러치 | Lillard steps up in the clutch. | 릴라드 클러치다.
basketball | clutch | noun | 클러치 | He's built for the clutch. | 클러치 체질이네.
basketball | clutch | noun | 클러치 | Big shot in the clutch. | 클러치 슛이다.
